KIC,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC,Gaia,Teff,e_Teff,D,+e_D,-e_D,R,+e_R,-e_R,AV,Evol,Bin
9051235,5669.0,65.0,0.207,0.1,2.062,0.107,-0.095,0.018000000000000002,1.251,0.05,-0.053,0.024,3.905,0.03,-0.032,0.004,0.1418,0.01641,-0.01739,0.00205,5.325,0.745,-0.616,0.282,6019.5,69.27600000000001,0.207,0.1,2.113,0.105,-0.095,0.045,1.341,0.065,-0.047,0.07,3.915,0.032,-0.033,0.006999999999999999,0.1417,0.017130000000000003,-0.015780000000000002,0.002716,3.917,0.449,-0.534,0.614,2085178176649434752,6013,120,489.981,5.962999999999999,5.836,2.195,0.095,0.09,0.206,1,0
9073645,6438.0,64.0,-0.152,0.1,2.342,0.079,-0.07,0.038,1.3730000000000002,0.056,-0.045,0.054000000000000006,3.836,0.021,-0.021,0.004,0.1067,0.008018,-0.007804000000000002,0.0009955,2.804,0.259,-0.265,0.223,5951.2,69.27600000000001,-0.152,0.1,2.298,0.079,-0.07400000000000001,0.025,1.263,0.048,-0.053,0.036000000000000004,3.815,0.02,-0.021,0.006,0.1036,0.007965999999999999,-0.00772,0.001415,4.056,0.468,-0.38,0.359,2107192594157600000,6097,122,602.3530000000002,9.11,8.867,2.376,0.105,0.099,0.1,1,0
9073950,5281.0,70.0,-0.166,0.101,3.841,0.078,-0.076,0.045,1.352,0.081,-0.076,0.044,3.399,0.008,-0.008,0.004,0.02387,0.0001379,-0.00013859999999999998,0.0002507,2.891,0.6809999999999999,-0.57,0.264,4940.3,69.27600000000001,-0.166,0.101,3.678,0.073,-0.069,0.067,1.2,0.071,-0.067,0.056,3.384,0.008,-0.008,0.005,0.02408,0.0001274,-0.00012930000000000005,0.0003221,5.176,1.288,-1.02,1.044,2107146625125381504,5015,100,587.3290000000002,8.869,8.632,3.83,0.16899999999999998,0.16,0.098,2,0
9093289,6285.0,57.0,-0.011,0.1,1.4480000000000002,0.03,-0.031,0.013,1.237,0.04,-0.056,0.039,4.207,0.013,-0.014,0.006,0.4056,0.0189,-0.01585,0.003334,3.125,0.6459999999999999,-0.436,0.682,6019.8,69.27600000000001,-0.011,0.1,1.416,0.033,-0.034,0.021,1.137,0.058,-0.064,0.059,4.191,0.014,-0.015,0.009000000000000001,0.3998,0.0168,-0.01823,0.003831,5.355,1.342,-1.082,1.675,2128021884173682176,6268,125,321.261,2.397,2.3680000000000003,1.485,0.062,0.059,0.085,0,0
9098294,6020.0,51.0,-0.112,0.1,1.1740000000000002,0.014,-0.013,0.008,1.055,0.037000000000000005,-0.035,0.015,4.3210000000000015,0.006,-0.006,0.003,0.6509999999999999,0.00154,-0.001513,0.005273,5.229,0.956,-0.957,0.669,5775.6,69.27600000000001,-0.112,0.1,1.152,0.014,-0.014,0.018000000000000002,0.99,0.035,-0.036000000000000004,0.047,4.31,0.006,-0.006,0.006999999999999999,0.6482,0.001406,-0.001632,0.006177,8.267000000000001,1.495,-1.275,1.724,2079984805272568192,5852,117,121.81,0.358,0.35700000000000004,1.175,0.049,0.046,0.048,0,0
9116461,6470.0,47.0,-0.116,0.1,1.251,0.027000000000000003,-0.027000000000000003,0.012,1.208,0.044,-0.047,0.026,4.324,0.012,-0.013,0.001,0.6161,0.02561,-0.02791,0.005256,1.5659999999999998,0.556,-0.487,0.6659999999999999,6300.5,69.27600000000001,-0.116,0.1,1.229,0.03,-0.029,0.019,1.143,0.053,-0.051,0.048,4.316,0.013,-0.013,0.005,0.6153,0.02683,-0.02703,0.005804999999999999,2.7960000000000003,0.888,-0.77,1.395,2085182265458274176,6481,130,124.21,0.386,0.384,1.259,0.052000000000000005,0.05,0.041,0,0
9119139,5475.0,74.0,0.2,0.1,1.753,0.075,-0.069,0.017,1.098,0.05,-0.05,0.025,3.99,0.025,-0.026,0.004,0.2031,0.01952,-0.01902,0.00307,8.72,1.291,-1.162,0.611,5522.4,69.27600000000001,0.2,0.1,1.7619999999999998,0.07400000000000001,-0.068,0.026,1.115,0.049,-0.05,0.041,3.992,0.025,-0.026,0.006,0.203,0.01957,-0.01905,0.002877,8.24,1.1909999999999998,-1.068,1.145,2082191662553312512,5475,192,280.03700000000003,1.914,1.893,1.86,0.138,0.125,0.282,1,0
9138680,5990.0,60.0,0.129,0.099,2.477,0.049,-0.048,0.022,1.416,0.043,-0.043,0.035,3.8,0.012,-0.012,0.004,0.09307,0.003997,-0.003833,0.001394,3.113,0.269,-0.221,0.153,5651.1,69.27600000000001,0.129,0.099,2.456,0.054000000000000006,-0.053,0.023,1.36,0.049,-0.046,0.034,3.791,0.011,-0.012,0.006,0.09192,0.003952000000000001,-0.003821,0.001506,3.733,0.328,-0.318,0.348,2106833397451084288,5766,115,572.3530000000002,7.286,7.124,2.443,0.106,0.1,0.096,1,0
9139151,6134.0,48.0,0.045,0.1,1.161,0.013,-0.013,0.006999999999999999,1.1840000000000002,0.038,-0.038,0.027000000000000003,4.381,0.006,-0.006,0.003,0.7565,0.001901,-0.002595,0.005031,1.494,0.6679999999999999,-0.619,0.679,5977.9,69.27600000000001,0.045,0.1,1.147,0.014,-0.014,0.013,1.136,0.041,-0.042,0.045,4.374,0.006,-0.006,0.006,0.7527,0.002525,-0.002332,0.0048850000000000005,2.756,1.012,-0.901,1.664,2106822131756841600,6302,126,102.707,0.261,0.26,1.142,0.048,0.045,0.016,0,0
9139163,6405.0,44.0,0.076,0.099,1.538,0.014,-0.013,0.012,1.33,0.038,-0.033,0.03,4.187,0.005,-0.005,0.003,0.3656,0.001248,-0.001547,0.001937,2.389,0.25,-0.28800000000000003,0.282,6340.3,69.27600000000001,0.076,0.099,1.535,0.014,-0.013,0.014,1.315,0.038,-0.034,0.037000000000000005,4.184,0.006,-0.006,0.006,0.3638,0.001989,-0.0021620000000000003,0.00414,2.623,0.333,-0.342,0.496,2106822131756839808,6400,128,102.108,0.326,0.325,1.569,0.065,0.062,0.016,0,0
