KIC,Teff,eTeff,[M/H],e[M/H],Radius,+eRad,-eRad,syRad,Mass,+eMas,-eMas,syMas,logg,+elogg,-elogg,sylogg,rho,+erho,-erho,syrho,Age,+eAge,-eAge,syAge
9788260,5354.0,58.0,-0.183,0.10099999999999999,3.1310000000000002,0.10099999999999999,-0.11900000000000001,0.054000000000000006,1.459,0.091,-0.107,0.057,3.611,0.011000000000000001,-0.011000000000000001,0.001,0.04763,0.00244,-0.002273,0.0008408,2.303,0.6609999999999999,-0.365,0.33899999999999997
9791157,5852.0,63.0,-0.047,0.1,1.952,0.035,-0.037000000000000005,0.013999999999999999,1.186,0.045,-0.054000000000000006,0.02,3.929,0.01,-0.01,0.006,0.1589,0.004893,-0.00484,0.003259,5.604,0.67,-0.5529999999999999,0.32299999999999995
9812421,5265.0,63.0,-0.231,0.1,3.1689999999999996,0.084,-0.08199999999999999,0.024,1.34,0.094,-0.08900000000000001,0.027999999999999997,3.562,0.009000000000000001,-0.009000000000000001,0.002,0.04208,0.0007182,-0.0007149,0.0002947,3.036,0.79,-0.64,0.3
9812850,6407.0,47.0,-0.125,0.1,1.7890000000000001,0.012,-0.02,0.022000000000000002,1.339,0.032,-0.04,0.045,4.059,0.005,-0.005,0.004,0.2342,0.001146,-0.001375,0.0013369999999999999,2.8089999999999997,0.247,-0.237,0.251
9821513,6550.0,65.0,-0.307,0.10099999999999999,1.775,0.046,-0.05,0.032,1.291,0.047,-0.08199999999999999,0.05,4.048,0.013999999999999999,-0.013000000000000001,0.002,0.2299,0.01162,-0.01132,0.00386,2.812,0.78,-0.3,0.563
9880787,6074.0,56.0,-0.314,0.102,2.0140000000000002,0.035,-0.036000000000000004,0.017,1.168,0.047,-0.049,0.026000000000000002,3.8960000000000004,0.009000000000000001,-0.009000000000000001,0.005,0.1427,0.003751,-0.003604,0.0020870000000000003,4.9239999999999995,0.547,-0.483,0.39
9893470,5936.0,56.0,-0.054000000000000006,0.1,3.3989999999999996,0.099,-0.11599999999999999,0.040999999999999995,1.626,0.057,-0.055999999999999994,0.045,3.588,0.018000000000000002,-0.019,0.004,0.04143,0.003104,-0.002873,0.0007947999999999999,1.7790000000000001,0.122,-0.113,0.215
9903271,4907.0,80.0,0.355,0.099,3.367,0.16399999999999998,-0.151,0.035,1.208,0.135,-0.11900000000000001,0.027999999999999997,3.465,0.01,-0.01,0.002,0.03161,0.0013109999999999999,-0.0013039999999999998,0.000505,6.582999999999999,3.083,-2.146,0.515
9908400,6000.0,55.0,0.16,0.1,2.764,0.025,-0.027000000000000003,0.023,1.53,0.038,-0.04,0.044000000000000004,3.739,0.006,-0.006,0.006,0.07242,0.0009392000000000002,-0.0009261000000000001,0.001123,2.489,0.10800000000000001,-0.10800000000000001,0.11800000000000001
9955598,5434.0,77.0,0.028999999999999998,0.1,0.882,0.013999999999999999,-0.013999999999999999,0.006999999999999999,0.883,0.040999999999999995,-0.040999999999999995,0.013000000000000001,4.492,0.006999999999999999,-0.006999999999999999,0.003,1.286,0.004281,-0.001714,0.008356,7.84,2.545,-2.222,1.011
