KIC,numax,enumax,Dnu,eDnu,Length,HBR
4571904,768.5239999999999,35.173,45.028,4.303,28.6,1.347
4574610,690.176,32.749,39.275999999999996,0.309,26.0,1.925
4577484,818.378,109.54899999999999,46.5,0.752,25.9,1.3459999999999999
4586099,1127.662,36.621,61.818999999999996,0.307,87.1,1.662
4638884,1203.1480000000001,18.326,60.727,0.193,364.4,1.5019999999999998
4641621,454.99,46.744,30.649,1.011,29.4,1.9180000000000001
4672403,1105.8010000000002,49.861999999999995,60.535,0.6459999999999999,24.9,1.43
4739932,1139.1480000000001,96.13600000000001,60.559,1.53,29.4,1.281
4755204,1350.6770000000001,41.303000000000004,70.348,0.792,33.4,1.339
4756112,669.295,68.681,36.842,1.494,29.4,1.464
4841753,861.077,80.14699999999999,49.655,2.4290000000000003,30.0,1.3019999999999998
4842436,1338.963,183.233,72.551,3.0860000000000003,31.1,1.339
4846457,697.1510000000001,60.537,42.067,2.8160000000000003,31.1,1.837
4914923,690.176,32.749,39.275999999999996,0.309,962.7,1.546
4915148,567.165,8.847000000000001,35.351,0.281,29.5,5.683
4947253,920.825,47.532,51.547,1.209,29.4,1.567
5021689,1182.91,36.545,63.504,0.233,92.6,2.248
5033245,423.67400000000004,7.392,26.525,0.259,29.4,4.524
5084157,1792.496,44.169,87.726,3.2939999999999996,29.4,1.125
5095159,580.816,91.43799999999999,34.995,0.24100000000000002,30.0,1.595
5110725,318.001,5.685,21.156999999999996,0.289,25.9,4.743
5214711,1001.627,124.28399999999999,60.17,2.717,29.6,1.248
5253542,2393.144,147.55100000000002,108.071,1.821,31.0,1.1079999999999999
5265656,556.196,120.09700000000001,34.521,0.818,30.0,1.5530000000000002
5344612,1279.595,109.40299999999999,65.683,2.719,25.9,1.291
5353186,879.035,26.011,47.545,1.3459999999999999,28.9,1.541
5371516,1013.2130000000001,31.519000000000002,55.347,0.29100000000000004,74.9,2.698
5390438,299.568,5.124,21.183000000000003,0.387,25.7,6.801
5429911,455.035,25.051,27.92,0.84,28.4,1.98
5431016,982.258,102.61,48.838,0.325,422.4,1.291
5431807,443.035,8.566,28.363000000000003,0.185,28.5,2.984
5450445,1077.0539999999999,43.623000000000005,57.31100000000001,0.21600000000000003,90.8,1.615
5512589,1304.71,27.058000000000003,68.079,0.185,87.9,1.679
5516982,1705.575,44.388999999999996,84.156,0.392,87.8,1.4169999999999998
5523099,732.632,31.53,42.617,1.426,26.1,1.5519999999999998
5530375,549.896,24.79,35.175,0.865,30.0,2.761
5543462,1768.8110000000001,287.746,92.696,5.211,30.0,1.187
5607242,676.118,7.6129999999999995,40.628,0.073,1045.4,1.93
5629080,428.63,8.085,27.78,0.24100000000000002,30.0,3.679
5636956,1013.296,38.441,55.235,1.415,26.1,1.5019999999999998
5683538,683.725,119.49600000000001,41.98,2.381,28.9,1.528
5689219,1299.947,118.31200000000001,66.404,1.6130000000000002,25.1,1.4609999999999999
5723165,572.374,7.928,34.5,0.39,661.6,2.755
5773155,1186.8,47.754,61.13399999999999,1.882,29.6,1.469
5773345,1103.771,15.706,57.551,0.086,422.9,1.999
5822889,300.25,7.401,19.708,0.127,317.2,1.636
5892169,493.99699999999996,9.695,29.75,0.48200000000000004,29.4,2.555
5950854,1924.536,32.725,96.85700000000001,0.19399999999999998,401.9,1.145
5955122,860.1419999999999,9.557,49.214,0.5579999999999999,1039.2,2.451
5961597,1261.854,74.001,59.76,1.301,25.9,1.5859999999999999
6034893,335.788,10.745999999999999,20.899,1.097,29.9,1.63
6035199,326.487,11.095,23.738000000000003,0.8270000000000001,29.9,4.64
6047087,1967.0629999999999,124.445,93.524,1.248,31.0,1.2930000000000001
6049366,1083.243,127.17200000000001,60.36,3.951,31.1,1.495
6116048,2102.099,24.883000000000003,100.891,0.08900000000000001,1048.0,1.804
