KIC,numax,enumax,Dnu,eDnu,Length,HBR,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC
3112889,871.525,65.675,53.708999999999996,1.865,31.0,1.4509999999999998,6433.0,65.0,-0.358,0.102,1.986,0.052000000000000005,-0.05,0.031,1.235,0.04,-0.047,0.042,3.932,0.017,-0.017,0.004,0.1568,0.009464,-0.009384,0.0021920000000000004,3.635,0.409,-0.306,0.366,5871.4,69.27600000000001,-0.358,0.102,1.901,0.057999999999999996,-0.055,0.031,1.053,0.052000000000000005,-0.05,0.040999999999999995,3.9010000000000002,0.017,-0.017,0.006999999999999999,0.1527,0.009448,-0.009132,0.002337,6.87,0.85,-0.778,0.884
3115178,428.866,7.731,28.414,0.728,29.4,3.3080000000000003,5046.0,85.0,0.08,0.1,3.0,0.158,-0.145,0.028999999999999998,1.165,0.138,-0.12,0.028999999999999998,3.549,0.009000000000000001,-0.009000000000000001,0.002,0.04308,0.002001,-0.001964,0.0004935,6.184,3.085,-2.121,0.527,4843.7,69.27600000000001,0.08,0.1,2.835,0.129,-0.1,0.092,1.02,0.105,-0.078,0.079,3.5410000000000004,0.009000000000000001,-0.009000000000000001,0.005,0.044739999999999995,0.0016589999999999999,-0.0017920000000000002,0.0009253999999999999,10.74,3.1489999999999996,-3.0660000000000003,2.97
3223000,2573.222,563.234,110.919,1.662,32.4,1.102,6198.0,47.0,-0.185,0.1,1.1640000000000001,0.021,-0.021,0.012,1.069,0.048,-0.046,0.04,4.335,0.011000000000000001,-0.011000000000000001,0.006,0.6786,0.02015,-0.020919999999999998,0.0045579999999999996,3.8760000000000003,0.973,-0.946,1.045,5851.5,69.27600000000001,-0.185,0.1,1.119,0.023,-0.023,0.021,0.941,0.05,-0.047,0.052000000000000005,4.314,0.012,-0.012,0.009000000000000001,0.671,0.02012,-0.019880000000000002,0.0050030000000000005,8.981,2.03,-1.665,2.148
3241581,2807.592,395.565,123.412,2.821,30.0,1.105,5770.0,81.0,0.185,0.1,1.084,0.024,-0.024,0.017,1.062,0.05,-0.05,0.052000000000000005,4.393,0.015,-0.015,0.006999999999999999,0.8323,0.04446,-0.03341,0.005765999999999999,4.53,1.787,-1.568,2.017,5524.3,69.27600000000001,0.185,0.1,1.053,0.023,-0.023,0.019,0.972,0.044000000000000004,-0.045,0.055,4.38,0.015,-0.015,0.008,0.8334,0.042660000000000003,-0.03325,0.00577,8.876,2.209,-1.99,3.36
3329196,435.093,31.154,29.604,1.193,31.1,7.56,5161.0,65.0,-0.313,0.10099999999999999,2.845,0.162,-0.15,0.045,1.0979999999999999,0.14400000000000002,-0.127,0.049,3.57,0.02,-0.022000000000000002,0.004,0.04759,0.003355,-0.003244,0.0003972,5.985,3.228,-2.1719999999999997,0.988,4843.7,69.27600000000001,-0.313,0.10099999999999999,2.61,0.087,-0.071,0.068,0.862,0.066,-0.04,0.059000000000000004,3.542,0.02,-0.021,0.006999999999999999,0.04857,0.003195,-0.0031190000000000002,0.0007552,14.52,1.694,-2.7260000000000004,2.035
3424541,769.6260000000001,10.207,41.291000000000004,0.122,931.0,1.702,6475.0,66.0,0.27,0.1,2.658,0.012,-0.015,0.040999999999999995,1.824,0.031,-0.034,0.07,3.8489999999999998,0.006,-0.006,0.006999999999999999,0.09704,0.0009607000000000001,-0.0009394999999999999,0.001463,1.3159999999999998,0.10300000000000001,-0.095,0.22699999999999998,6278.9,69.27600000000001,0.27,0.1,2.653,0.012,-0.013999999999999999,0.06,1.777,0.03,-0.032,0.124,3.839,0.005,-0.005,0.013999999999999999,0.09512000000000001,0.0008562999999999998,-0.0008089000000000001,0.001865,1.5230000000000001,0.129,-0.11599999999999999,0.535
3427720,2726.381,56.766999999999996,120.045,0.12,963.8,1.125,6023.0,51.0,-0.037000000000000005,0.1,1.117,0.013000000000000001,-0.015,0.008,1.1,0.039,-0.042,0.024,4.3839999999999995,0.006,-0.006999999999999999,0.004,0.7906,0.0016879999999999998,-0.002039,0.005817,2.972,1.085,-0.813,0.778,5933.7,69.27600000000001,-0.037000000000000005,0.1,1.107,0.015,-0.015,0.013999999999999999,1.071,0.043,-0.043,0.042,4.379,0.006999999999999999,-0.006999999999999999,0.006,0.7888,0.001847,-0.0023309999999999997,0.006548,3.98,1.171,-1.1320000000000001,1.4
3429205,371.041,4.5360000000000005,24.296,0.098,683.0,3.97,5116.0,62.0,-0.046,0.1,3.427,0.057999999999999996,-0.057,0.027000000000000003,1.325,0.062,-0.06,0.027999999999999997,3.49,0.006999999999999999,-0.006999999999999999,0.002,0.03291,0.0002924,-0.00029089999999999997,0.0005078,3.55,0.687,-0.585,0.287,4913.5,69.27600000000001,-0.046,0.1,3.344,0.059000000000000004,-0.06,0.057,1.238,0.061,-0.059000000000000004,0.057999999999999996,3.4810000000000003,0.006999999999999999,-0.006999999999999999,0.005,0.0331,0.0003012,-0.0002996,0.0003577,5.038,1.121,-0.878,0.975
3430893,1700.0539999999999,88.249,80.813,3.9330000000000003,28.4,1.247,6270.0,60.0,-0.11,0.1,1.466,0.045,-0.044000000000000004,0.018000000000000002,1.2,0.053,-0.064,0.032,4.184,0.018000000000000002,-0.018000000000000002,0.002,0.3808,0.02708,-0.0243,0.003023,3.605,0.9470000000000001,-0.5489999999999999,0.7120000000000001,5847.3,69.27600000000001,-0.11,0.1,1.3840000000000001,0.049,-0.044000000000000004,0.035,1.0170000000000001,0.062,-0.055,0.063,4.163,0.018000000000000002,-0.019,0.006,0.3827,0.02605,-0.0237,0.005203,8.644,1.5759999999999998,-1.536,2.6260000000000003
3437637,834.6210000000001,45.394,48.083999999999996,1.996,24.9,1.496,5483.0,58.0,-0.255,0.102,2.01,0.069,-0.066,0.02,1.0390000000000001,0.055999999999999994,-0.055,0.025,3.847,0.016,-0.017,0.003,0.1277,0.008164,-0.008124,0.0016579999999999998,7.827000000000001,1.143,-0.97,0.489,5285.9,69.27600000000001,-0.255,0.102,1.964,0.073,-0.07,0.048,0.973,0.063,-0.063,0.061,3.839,0.016,-0.017,0.006999999999999999,0.1282,0.008228000000000001,-0.008043000000000002,0.001471,9.959,1.9780000000000002,-1.59,1.9909999999999999
