KIC,Teff,eTeff,[M/H],e[M/H],Radius,+eRad,-eRad,syRad,Mass,+eMas,-eMas,syMas,logg,+elogg,-elogg,sylogg,rho,+erho,-erho,syrho,Age,+eAge,-eAge,syAge
10129349,6372.2,69.27600000000001,0.045,0.1,1.517,0.038,-0.036000000000000004,0.016,1.294,0.039,-0.04,0.046,4.187,0.017,-0.017,0.006999999999999999,0.3698,0.013880000000000002,-0.01321,0.0038420000000000004,2.673,0.374,-0.34,0.657
10130853,4772.3,69.27600000000001,0.316,0.099,3.739,0.07200000000000001,-0.07,0.076,1.219,0.064,-0.061,0.065,3.378,0.006999999999999999,-0.006999999999999999,0.006,0.02332,0.0002809,-0.00028010000000000003,0.0002468,6.529,1.416,-1.146,1.3019999999999998
10147635,5792.2,69.27600000000001,-0.035,0.1,2.6719999999999997,0.037000000000000005,-0.039,0.036000000000000004,1.4069999999999998,0.052000000000000005,-0.038,0.046,3.734,0.006,-0.006,0.004,0.07418999999999999,0.001185,-0.001288,0.001285,2.985,0.254,-0.225,0.284
10162436,6201.8,69.27600000000001,-0.059000000000000004,0.1,1.969,0.02,-0.017,0.027000000000000003,1.294,0.040999999999999995,-0.034,0.039,3.96,0.006999999999999999,-0.005,0.006999999999999999,0.1694,0.001301,-0.0010199999999999999,0.003332,3.864,0.321,-0.358,0.53
10186764,6020.9,69.27600000000001,-0.16699999999999998,0.102,1.62,0.059000000000000004,-0.055999999999999994,0.028999999999999998,1.097,0.055999999999999994,-0.053,0.052000000000000005,4.058,0.024,-0.024,0.008,0.2561,0.02168,-0.02105,0.0036630000000000005,6.422999999999999,1.018,-0.898,1.246
10214328,6070.3,69.27600000000001,-0.584,0.102,1.694,0.046,-0.044000000000000004,0.026000000000000002,0.985,0.047,-0.044000000000000004,0.047,3.972,0.016,-0.017,0.009000000000000001,0.202,0.01123,-0.0115,0.002157,7.489,0.97,-0.879,1.3330000000000002
10215584,5592.5,69.27600000000001,-0.015,0.1,1.0859999999999999,0.026000000000000002,-0.026000000000000002,0.016,0.92,0.045,-0.047,0.040999999999999995,4.329,0.016,-0.016,0.006999999999999999,0.717,0.03572,-0.02889,0.006071,11.56,2.146,-2.031,2.698
10272858,4916.7,69.27600000000001,-0.053,0.10300000000000001,3.525,0.055999999999999994,-0.055999999999999994,0.062,1.276,0.057999999999999996,-0.055999999999999994,0.059000000000000004,3.448,0.006999999999999999,-0.006,0.005,0.0291,0.00015959999999999998,-0.0001584,0.000377,4.524,0.9179999999999999,-0.754,0.8759999999999999
10272923,4829.0,69.27600000000001,0.061,0.102,2.7039999999999997,0.076,-0.07,0.062,1.0490000000000002,0.083,-0.073,0.067,3.594,0.01,-0.01,0.008,0.05306,0.0007631000000000001,-0.0007649,0.0003894,9.892000000000001,2.8689999999999998,-2.421,2.494
10273246,5878.4,69.27600000000001,-0.262,0.1,2.095,0.031,-0.032,0.026000000000000002,1.16,0.05,-0.05,0.038,3.86,0.006999999999999999,-0.006999999999999999,0.006,0.1263,0.001484,-0.001484,0.002298,5.31,0.583,-0.527,0.615
10295224,5808.3,69.27600000000001,0.12,0.1,2.5980000000000003,0.08900000000000001,-0.084,0.022000000000000002,1.429,0.049,-0.054000000000000006,0.031,3.762,0.019,-0.02,0.005,0.08104,0.006258,-0.00603,0.001119,3.0389999999999997,0.35200000000000004,-0.281,0.253
10319352,5400.1,69.27600000000001,0.19699999999999998,0.099,1.439,0.03,-0.031,0.025,0.982,0.042,-0.043,0.046,4.114,0.013999999999999999,-0.013999999999999999,0.008,0.3298,0.01547,-0.015040000000000001,0.005463,12.9,1.625,-1.618,2.248
10322381,5948.0,69.27600000000001,-0.361,0.1,1.306,0.057999999999999996,-0.053,0.026000000000000002,0.932,0.05,-0.048,0.047,4.1739999999999995,0.027999999999999997,-0.028999999999999998,0.005,0.4059,0.04389,-0.04427,0.0118,9.844,1.589,-1.459,2.2359999999999998
10324098,5980.8,69.27600000000001,-0.11800000000000001,0.10099999999999999,2.068,0.048,-0.049,0.04,1.222,0.048,-0.051,0.069,3.8939999999999997,0.013999999999999999,-0.013999999999999999,0.006,0.1381,0.006662,-0.006520000000000001,0.001235,4.678999999999999,0.55,-0.43200000000000005,0.852
10351059,6094.1,69.27600000000001,0.16,0.1,1.7830000000000001,0.044000000000000004,-0.045,0.037000000000000005,1.3559999999999999,0.047,-0.099,0.095,4.065,0.013000000000000001,-0.016,0.009000000000000001,0.2377,0.01097,-0.011090000000000001,0.001557,3.3310000000000004,1.21,-0.423,1.13
10355856,6318.4,69.27600000000001,-0.152,0.1,1.733,0.016,-0.016,0.02,1.301,0.037000000000000005,-0.035,0.047,4.074,0.006,-0.006,0.006,0.2499,0.002017,-0.001934,0.0020039999999999997,3.112,0.335,-0.292,0.49700000000000005
10385708,5724.4,69.27600000000001,0.121,0.1,1.723,0.035,-0.035,0.023,1.1340000000000001,0.046,-0.049,0.040999999999999995,4.019,0.012,-0.012,0.008,0.2215,0.008612,-0.008497,0.00395,7.19,0.97,-0.855,1.1
10394814,4881.9,69.27600000000001,-0.19899999999999998,0.10099999999999999,3.0039999999999996,0.08,-0.07400000000000001,0.061,0.9990000000000001,0.067,-0.06,0.052000000000000005,3.4819999999999998,0.008,-0.008,0.005,0.036860000000000004,0.0007015,-0.0007076000000000001,0.00037,9.985,2.529,-2.157,2.1790000000000003
10398597,6032.7,69.27600000000001,0.11199999999999999,0.1,1.933,0.071,-0.065,0.032,1.271,0.047,-0.045,0.059000000000000004,3.969,0.023,-0.023,0.006,0.1754,0.014530000000000001,-0.014230000000000001,0.00176,4.479,0.49700000000000005,-0.452,0.8079999999999999
10417911,5436.1,69.27600000000001,0.13699999999999998,0.1,1.885,0.055,-0.053,0.024,1.114,0.049,-0.049,0.037000000000000005,3.9339999999999997,0.015,-0.015,0.005,0.1661,0.009692000000000001,-0.009225,0.00224,8.027000000000001,1.015,-0.938,0.925
10454113,5886.8,69.27600000000001,-0.055,0.1,1.224,0.013999999999999999,-0.013999999999999999,0.01,1.119,0.036000000000000004,-0.038,0.026000000000000002,4.311,0.006,-0.006,0.003,0.6109,0.002293,-0.0019489999999999998,0.004499,4.843999999999999,1.061,-0.953,2.299
