KIC,logg_seis_SDSS,logg_seis_err_SDSS,logg_seis_ASPC,logg_seis_err_ASPC,logg_seis_DR14,logg_seis_err_DR14,logg_seis_DR16,logg_seis_err_DR16,R_seis_SDSS,R_seis_err_SDSS,R_seis_ASPC,R_seis_err_ASPC,R_seis_DR14,R_seis_err_DR14,R_seis_DR16,R_seis_err_DR16,M_seis_SDSS,M_seis_err_SDSS,M_seis_ASPC,M_seis_err_ASPC,M_seis_DR14,M_seis_err_DR14,M_seis_DR16,M_seis_err_DR16
10272923,3.608034567122542,0.011312832910004126,3.5971168215538634,0.01129915362125823,3.5996017700674936,0.011408033559591448,3.6000942202469,0.01151945526347573,2.8373291228568456,0.03857462080508632,2.766890487002887,0.03823299607261022,2.7827674751464846,0.04088389608476335,2.785924668324795,0.04345344988946377,1.1916644913468692,0.09562745626317179,1.1050979211251726,0.09507708906509998,1.1242311318601679,0.09939102950779288,1.1280619694086145,0.10366008942464115
10273246,3.889898966306083,0.015517456964973997,3.873415414773405,0.015596770310474045,3.879084145875624,0.016178203362744427,3.880976856541551,0.016090949299105355,2.193828940184794,0.040121606471607375,2.1121230187791564,0.04265073786930285,2.139872713106235,0.058192166249474576,2.1492189020823087,0.0561023936805523,1.3633409788353266,0.1129451274275163,1.2166168698549267,0.11659318311698898,1.2652024594872275,0.1409359479955123,1.2818528092032964,0.13750470134842113
10295224,3.77518608917705,0.03127330558584478,3.764866309265798,0.03132969812510634,3.770776898885591,0.0315452689277591,3.775047235976329,0.0315462822085878,2.6551763272500044,0.07782773145523257,2.5928272803759573,0.07972851453508861,2.6283559323169965,0.08663964141959347,2.6543275464900042,0.08667093298782685,1.5334613133448896,0.23057873610879404,1.427951589466553,0.23316190626160407,1.4874598538380166,0.24282429918136417,1.5319911777278847,0.24286896242949446
10319352,3.971206383580797,0.12974283458421343,3.9610374377325868,0.12975021881824464,3.963280443484883,0.12978973891462733,3.963915771482089,0.12978519589768064,1.0054490697267309,0.29972287070470005,0.9821801003524263,0.29999391255036856,0.9872658993561821,0.3014406349761119,0.9887112243798392,0.30127465860731734,0.3453238202923464,0.8977891172304113,0.32189905319256906,0.898151152308234,0.32692543972255644,0.9000866223773698,0.32836336723872556,0.8998643129935303
10322381,4.196461924180624,0.037359886697735635,4.1783967302223175,0.03738553763062633,4.185535455991963,0.037667390176069744,4.185095009155076,0.03761697816094335,1.3950688282877775,0.09588998529646747,1.3382290120268743,0.09673434595951484,1.3604079670826659,0.10560314080363081,1.3590289865158234,0.10406763192111883,1.1167428842779479,0.28434846833957966,0.9857291779367654,0.2854901558360609,1.0355564769360963,0.29779621843939497,1.0324105855416819,0.2956260854206134
10324098,3.9242166614924323,0.02160492382463,3.910526585174126,0.02162696786175918,3.915111994872198,0.02245860316973908,3.916597602268814,0.022145185124596026,2.246849846094498,0.0558631515755953,2.177128052505692,0.05658211295624812,2.2002365936846724,0.07944609062788822,2.207775913053923,0.0715945804721331,1.5476215257369006,0.16064540534640054,1.4079736680598318,0.1616487595666978,1.4532849021764767,0.19639476751506416,1.4682756077704817,0.1839220358059375
10351059,4.100578370078379,0.028235406865753817,4.08557656765065,0.02827740399007323,4.090631629679637,0.02856050892886218,4.092638618190254,0.028557528996123748,1.9651343057802795,0.06845172147293603,1.8984118445448395,0.0699068844787941,1.9206379103204232,0.07906950069056498,1.9295342212361495,0.07897814342850511,1.776899416135629,0.2014764648164396,1.6019812820567259,0.20346523824629656,1.6589092297616048,0.21646745007579637,1.6820681557064998,0.21633400505272044
10355856,4.095843393907709,0.010480312131980142,4.08776124593727,0.010586172640011672,4.089429160911882,0.011547460529447436,4.08888481977187,0.01142593663199942,1.8349218763712996,0.029284209472438552,1.8010900644729915,0.032353452317939964,1.80802047963299,0.05340097506823214,1.8057557411983138,0.05113544064644315,1.5324226089777022,0.0791175050288111,1.4492126187531564,0.08376337750973376,1.4660063513116417,0.11931461124788158,1.4605042612120787,0.11527642024588095
10385708,4.014557447991816,0.04781254119313176,4.0030478189639265,0.047843806976005605,4.005047874551231,0.047981013844937755,4.004604860990271,0.04796792801133106,1.6555450057518943,0.11192180846308261,1.6122462016989012,0.11304954394681907,1.6196881993542478,0.11787932018308662,1.6180368360135655,0.11742667286144484,1.0345212858753552,0.3332832160800811,0.9554556740648772,0.33480223241255325,0.9687477584841716,0.34139987373957953,0.9657876997830622,0.34077533842596264
10394814,3.4946752768646157,0.008188922417234743,3.482813262103335,0.008323963232432398,3.4869561107220264,0.008548675987033454,3.4889539337484896,0.008705977115172242,3.185402201945845,0.030935751404205115,3.099575797882715,0.0338553556330413,3.1292849382118275,0.03831212885727195,3.143713302781114,0.04120756975466787,1.1569213314953681,0.07437420755971703,1.06590324522127,0.07929804733108856,1.096847703547062,0.08703284874499741,1.1120896513150844,0.09217209507604798
10398597,3.9712223068880985,0.046310453694484464,3.9579814144635703,0.0463252686322471,3.9625096595311167,0.0465200573716075,3.9622818532367314,0.04652892928856042,1.8932412624244233,0.11095643150775383,1.8363906324992885,0.11147981993552264,1.8556382407123677,0.11816059619335342,1.8546651332029516,0.11845655703302224,1.2244307540081476,0.3297674083941096,1.1174074226916952,0.3304727309153574,1.1529123388146645,0.33963057995166296,1.1510995079547592,0.3400427156751025
10417911,3.9344350686450884,0.022209832973433326,3.9301280120104254,0.022245170988124285,3.937671253485126,0.02247657645199615,3.9383806510492323,0.022466057239060193,1.8177405449376394,0.0587285398983535,1.7998024459217175,0.05985236672239676,1.8313361956742518,0.06678475233004012,1.8343300330630026,0.06648382240817192,1.037047997637213,0.16869946525924454,1.0066481213613256,0.17027203878932715,1.0604920368999076,0.18028909162654366,1.0657015673275314,0.1798436502976695
10454113,4.331817046904993,0.00759525177872619,4.3206659394327005,0.007856938906774037,4.325495938295499,0.008836614034061737,4.328470086975302,0.008752007331477888,1.294636766527137,0.022453896593264064,1.2618183212774396,0.029106715684618263,1.2759299383723084,0.04727090756951296,1.2846977884453796,0.045916242604984475,1.3134481095465005,0.059015566399005195,1.2160728634761848,0.06967733333224099,1.257330914741262,0.10200138233520739,1.283429566567648,0.09949538948288295
10462940,4.330367993708468,0.013427722997764863,4.32345171242103,0.013552878106403144,4.326777028216689,0.014131546985392339,4.325958890228073,0.014099182988143909,1.306432464090798,0.03436517088461524,1.2857918911116526,0.03830687633613464,1.2956747588965833,0.05316398286053914,1.2932362225060712,0.05242998207246287,1.333036132686253,0.09723440184439347,1.270846442403655,0.10295793374407532,1.3003762378003292,0.12663453445527628,1.2930478929455451,0.12540447002717595
10491771,4.203469049084475,0.045851920945237955,4.197854080149875,0.04588435959766241,4.19803103409023,0.046120265181476376,4.197769588120486,0.04609327153950052,1.6221397362775019,0.10791074622642725,1.6013021769246234,0.10907413752769682,1.6019547628464346,0.11721075102384615,1.6009906737487023,0.11630650095328125,1.5344246796834053,0.32209452306789105,1.4760486376533466,0.3236582072115557,1.477853995539757,0.33484235963815995,1.4751873928365278,0.33357873709476316
10518551,3.908690279944769,0.013818830489337573,3.8948363479095462,0.013899704102634282,3.8962487708832736,0.014681387322452881,3.899929873452842,0.014433643314258402,2.1550537483590047,0.03756874278656384,2.0873927665267136,0.040019676521186764,2.094192486668862,0.05913374926713404,2.112018410886195,0.053711381799745314,1.3737461628101775,0.10418549047465345,1.248373946093383,0.10777417465531268,1.26061353326168,0.13855026487432362,1.2930796377129192,0.129416478187842
10593351,3.6542165046270667,0.009673306006946311,3.6442149295135136,0.009582775557772762,3.645216522078873,0.010407505584216664,3.6480219691485587,0.010158113840553007,2.9178348131793306,0.034732761698256225,2.851406442445788,0.03253433877367618,2.857990093432256,0.04956860205051875,2.876511841204123,0.04496621166544111,1.4016445989746456,0.08439071305889624,1.3080766175782557,0.08081006315799326,1.3171582615706146,0.11011139244786758,1.342932862482391,0.10190276873570488
10610027,4.213463677183969,0.03748695383710994,4.2048879188623225,0.0375125478743416,4.207652149953841,0.03779531270886818,4.211573555877943,0.03778767676829941,1.4866128356472648,0.09345338671268297,1.4575454965541665,0.0943205745284449,1.4668521813403783,0.10345425972596445,1.4801569099003427,0.10321736406115364,1.3187407721300668,0.2776772997057643,1.242888468668268,0.2788476715647945,1.266848997218949,0.291516168061727,1.3016345558932825,0.2911800779492559
