id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,jmag,jmag_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC3429205,4913.5,69.27600000000001,3.4820077187696907,0.0074391309138834,-0.046,0.1,0.0034410391191519504,2.3558042629147076e-05,8.716000000000001,0.037000000000000005,8.183,0.02,287.0070337616333,38.52538571912825,kmag,green19,using DR13 feh and ASPC teff
KIC3430893,5847.3,69.27600000000001,4.180830741302469,0.02307878682802285,-0.11,0.1,0.003481765864196545,2.3377313744692613e-05,9.836,0.021,9.519,0.017,287.62135117974776,38.538486509213726,kmag,green19,using DR13 feh and ASPC teff
KIC3437637,5285.9,69.27600000000001,3.849939116043643,0.024162311209154668,-0.255,0.102,0.002677070740577992,2.9209311975746182e-05,10.14,0.027000000000000003,9.682,0.018000000000000002,289.76039294023775,38.575285918186395,kmag,green19,using DR13 feh and ASPC teff
KIC3438633,6169.7,69.27600000000001,3.9465460733118083,0.017449380138506713,-0.184,0.1,0.002346962642649052,2.779121561906524e-05,10.184,0.019,9.922,0.017,290.02825727825206,38.59797388242753,kmag,green19,using DR13 feh and ASPC teff
KIC3545753,5780.0,69.27600000000001,3.8225337515737516,0.03875735661756045,-0.338,0.105,0.0021695310623933667,2.3641097556435684e-05,9.987,0.021,9.675,0.018000000000000002,291.7271257694145,38.689477715274045,kmag,green19,using DR13 feh and ASPC teff
KIC3630240,4987.8,69.27600000000001,3.3196154700478115,0.011776202905922527,-0.613,0.103,0.0017076015186085903,2.6273681416432124e-05,10.265999999999998,0.022000000000000002,9.73,0.017,286.51700433122045,38.72657875626482,kmag,green19,using DR13 feh and ASPC teff
KIC3632418,6128.9,69.27600000000001,3.799541457679428,0.02117703576278774,-0.112,0.1,0.009235910602542276,3.230708740761089e-05,7.229,0.032,6.945,0.018000000000000002,287.36196731685897,38.71413838052882,kmag,green19,using DR13 feh and ASPC teff
KIC3633847,6019.3,69.27600000000001,4.013219464191867,0.03407619792322659,0.12,0.1,0.0035613612598080968,5.6342212231332684e-05,9.265,0.022000000000000002,8.972000000000001,0.018000000000000002,287.8961603529516,38.74379584761459,kmag,green19,using DR13 feh and ASPC teff
KIC3633889,6283.0,69.27600000000001,4.2692498614810965,0.01378307369703903,-0.12,0.1,0.005195750046215034,2.521205806241453e-05,9.212,0.022000000000000002,8.946,0.018000000000000002,287.9141350847669,38.73456885165679,kmag,green19,using DR13 feh and ASPC teff
KIC3642422,5090.9,69.27600000000001,3.6141429041648183,0.04345118065533556,-0.019,0.1,0.00273427257562015,5.0669349385215325e-05,8.977,0.021,8.493,0.018000000000000002,290.5399483790872,38.760306531400225,kmag,green19,using DR13 feh and ASPC teff
KIC3643774,5907.4,69.27600000000001,4.147540272212306,0.015370002463196954,0.158,0.1,0.005358582286245501,2.6679888179404904e-05,8.89,0.02,8.572000000000001,0.017,290.9470668778781,38.77706175365137,kmag,green19,using DR13 feh and ASPC teff
KIC3656476,5560.4,69.27600000000001,4.225540382951717,0.00731944920904976,0.233,0.1,0.008735325993096062,2.5428765949993292e-05,8.382,0.024,8.008,0.017,294.2039287839221,38.71591251963522,kmag,green19,using DR13 feh and ASPC teff
KIC3657002,5944.7,69.27600000000001,4.158136630616173,0.026195388170765763,0.112,0.1,0.006061532772919417,2.9322508029842923e-05,8.737,0.023,8.427,0.02,294.33265110237653,38.74471821259211,kmag,green19,using DR13 feh and ASPC teff
KIC3661135,5480.1,69.27600000000001,3.9387137300956785,0.014130156775990834,-0.02,0.1,0.003458845974828332,3.357828480433447e-05,9.65,0.021,9.241,0.017,295.26355752691325,38.74576478606007,kmag,green19,using DR13 feh and ASPC teff
KIC3730801,5715.3,69.27600000000001,4.119481295730514,0.016393951653382168,0.16399999999999998,0.1,0.002751533518299869,2.253401401133213e-05,10.368,0.02,10.015,0.015,286.11974867103766,38.81169925578071,kmag,green19,using DR13 feh and ASPC teff
KIC3733735,6477.1,69.27600000000001,4.295834182274284,0.008506230796954659,-0.077,0.1,0.00977741180592977,2.7185261446399504e-05,7.5329999999999995,0.018000000000000002,7.374,0.021,287.2581560064136,38.899730155758455,kmag,green19,using DR13 feh and ASPC teff
KIC3735871,5970.3,69.27600000000001,4.4044544346541175,0.0115109686440133,-0.032,0.099,0.008213453724282702,2.613130909246497e-05,8.732000000000001,0.027000000000000003,8.477,0.018000000000000002,288.06919662698033,38.81757141752832,kmag,green19,using DR13 feh and ASPC teff
KIC3761840,6022.4,69.27600000000001,3.7673691909527682,0.030153560056638808,0.011,0.1,0.0018491191695441357,2.6582280622992008e-05,9.881,0.024,9.584,0.018000000000000002,295.17490810966336,38.802256475923116,kmag,green19,using DR13 feh and ASPC teff
KIC3854781,5501.7,69.27600000000001,4.009389790234721,0.013375542709055532,0.256,0.1,0.0030444461630352738,2.8633967065165162e-05,10.003,0.022000000000000002,9.634,0.018000000000000002,292.63968809497464,38.91403197192479,kmag,green19,using DR13 feh and ASPC teff
KIC3942719,5601.8,69.27600000000001,3.836625289621108,0.012290706048987556,-0.364,0.101,0.0030784353656663965,4.543535908389475e-05,9.547,0.02,9.131,0.018000000000000002,287.9924951449109,39.03704189015113,kmag,green19,using DR13 feh and ASPC teff
KIC3952307,5857.9,69.27600000000001,3.8817195091460888,0.029054796841177236,-0.118,0.1,0.0029424392644576062,2.909528476433522e-05,9.565,0.018000000000000002,9.248,0.018000000000000002,290.9361423530763,39.000647146137226,kmag,green19,using DR13 feh and ASPC teff
KIC3952580,6004.1,69.27600000000001,3.7540033950019263,0.013622251558247846,-0.07400000000000001,0.1,0.0024639781261735355,2.879345337855644e-05,9.302999999999999,0.018000000000000002,9.001,0.018000000000000002,291.0203567708545,39.01637935472562,kmag,green19,using DR13 feh and ASPC teff
KIC3967859,5832.6,69.27600000000001,4.148607415381465,0.056227781816592236,-0.375,0.1,0.0050341271473956116,3.73243279342521e-05,9.557,0.02,9.231,0.017,294.9674846394449,39.047628649549814,kmag,green19,using DR13 feh and ASPC teff
KIC4038445,4969.7,69.27600000000001,3.607729647555789,0.00898273085926734,-0.7659999999999999,0.105,0.00218192107358911,3.089348110191545e-05,10.224,0.02,9.682,0.016,285.51669653815065,39.11428328468201,kmag,green19,using DR13 feh and ASPC teff
KIC4049576,5678.0,69.27600000000001,3.9233447092387626,0.057377856240776876,-0.264,0.101,0.002236214393130909,2.236139873118517e-05,10.367,0.018000000000000002,9.993,0.018000000000000002,289.4498097716263,39.186912651602036,kmag,green19,using DR13 feh and ASPC teff
KIC4064447,5050.0,69.27600000000001,3.3769230446114813,0.03302338839417923,-0.252,0.1,0.0012157423711984556,2.5501089231828112e-05,10.213,0.022000000000000002,9.71,0.018000000000000002,293.43099672892595,39.15178435155021,kmag,green19,using DR13 feh and ASPC teff
KIC4072740,4834.5,69.27600000000001,3.326338472715784,0.007716494909709201,0.14800000000000002,0.1,0.003884245372439582,2.4153183290274896e-05,8.137,0.03,7.535,0.024,295.41806747291224,39.17299444806633,kmag,green19,using DR13 feh and ASPC teff
KIC4165030,5220.5,69.27600000000001,3.9655890363972537,0.01564981308642941,-0.482,0.102,0.002886185550076736,2.217419048010064e-05,10.359000000000002,0.021,9.943,0.018000000000000002,293.3704352611008,39.26274754821213,kmag,green19,using DR13 feh and ASPC teff
KIC4243623,4850.5,69.27600000000001,3.603113867568173,0.010983850613963122,-0.369,0.101,0.002879974159301737,2.576420885559036e-05,9.769,0.021,9.149,0.017,285.50848678159235,39.35136088740829,kmag,green19,using DR13 feh and ASPC teff
KIC4247542,6103.5,69.27600000000001,4.040330825747891,0.05889710450773775,-0.44,0.1,0.0023469985692470617,2.1224471998963286e-05,10.564,0.023,10.264000000000001,0.018000000000000002,287.06838862459057,39.35524847951939,kmag,green19,using DR13 feh and ASPC teff
KIC4346201,5816.6,69.27600000000001,3.929747786161476,0.020061150133875664,-0.337,0.099,0.0039291205032288105,9.378442577607279e-05,8.956,0.021,8.609,0.02,285.2860172897109,39.49827279019023,kmag,green19,using DR13 feh and ASPC teff
KIC4347652,4894.0,69.27600000000001,3.3266154824384437,0.05119204365563502,0.025,0.102,0.001767942857225425,2.853839660367949e-05,9.735,0.021,9.17,0.017,285.9073487836037,39.40626202089854,kmag,green19,using DR13 feh and ASPC teff
KIC4351319,4813.3,69.27600000000001,3.4941463237058787,0.007703104129285284,0.229,0.1,0.0038622168492948978,2.238460893615121e-05,8.472999999999999,0.027000000000000003,7.909,0.02,287.39870343931386,39.49752934960674,kmag,green19,using DR13 feh and ASPC teff
KIC4378838,4893.2,69.27600000000001,3.5088311119842017,0.012986865541791813,0.238,0.099,0.002238465924435421,2.650162278754133e-05,9.537,0.022000000000000002,8.93,0.017,295.00919840487165,39.46422226170151,kmag,green19,using DR13 feh and ASPC teff
KIC4446300,5153.4,69.27600000000001,3.8493213879133084,0.016014888857005992,-0.101,0.101,0.004060480389967332,2.7243598374366227e-05,9.33,0.021,8.838,0.017,285.35843473482487,39.565502910072155,kmag,green19,using DR13 feh and ASPC teff
KIC4450844,5602.3,69.27600000000001,4.0742610161128265,0.008261285087152077,-0.28,0.099,0.004483143542281449,2.266878593626859e-05,9.424,0.021,9.033,0.023,287.3148859026392,39.53831763368832,kmag,green19,using DR13 feh and ASPC teff
KIC4457351,5192.6,69.27600000000001,3.961253178129196,0.016790655451282995,-0.3670000000000001,0.102,0.0033188668191208495,3.5356781903282225e-05,9.847000000000001,0.018000000000000002,9.424,0.016,289.5538465014463,39.56550614915529,kmag,green19,using DR13 feh and ASPC teff
KIC4465324,5612.6,69.27600000000001,4.1810261063049845,0.0177219859984428,0.037000000000000005,0.1,0.0034378864532094936,2.8408566679834886e-05,10.283,0.027000000000000003,9.902000000000001,0.019,291.8913898051817,39.58118129190865,kmag,green19,using DR13 feh and ASPC teff
KIC4543171,5931.3,69.27600000000001,4.125022079303131,0.021265488599685016,0.13699999999999998,0.1,0.004127223488241538,2.58942606520363e-05,9.379,0.02,9.062999999999999,0.02,285.2371779543625,39.66641176283297,kmag,green19,using DR13 feh and ASPC teff
KIC4571351,5797.4,69.27600000000001,4.060119265688893,0.05038562220796816,0.14300000000000002,0.101,0.0037312854579630837,2.671045585544836e-05,9.789,0.022000000000000002,9.48,0.018000000000000002,294.2964897119716,39.695934257922566,kmag,green19,using DR13 feh and ASPC teff
KIC4571904,5911.1,69.27600000000001,3.838381924556983,0.02047740362307404,-0.097,0.1,0.0015225288472804936,0.0003022058033081099,10.619000000000002,0.024,10.306,0.022000000000000002,294.4362762282043,39.64271772085058,kmag,green19,using DR13 feh and ASPC teff
