id_starname,logg,logg_err,feh,feh_err,parallax,parallax_err,jmag,jmag_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC8776961,4.030876365888629,0.014044664491579898,-0.041197000000000004,0.009942293,0.0034847400545010925,2.4763635037151665e-05,9.823,0.026000000000000002,9.442,0.019,299.2296189627958,44.93736780605313,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8802782,3.8437296895514437,0.030719703974782176,0.301371,0.0088359965,0.001572113279741968,2.015352447112165e-05,10.705,0.021,10.405999999999999,0.013999999999999999,284.2300901379917,45.085939863831136,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8817551,3.8081524920186176,0.0693517813457187,0.12358845,0.010424174,0.002064468542358568,2.1409366213409516e-05,10.207,0.022000000000000002,9.852,0.011000000000000001,291.31988540495604,45.011663817026594,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8915084,4.159525423778991,0.021439473949756902,0.142591,0.009279104,0.005166446749646724,3.0087031043384326e-05,9.092,0.019,8.735,0.019,300.86803789156534,45.13051675183495,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8938364,4.169547363384478,0.008082556167364259,-0.12359901,0.010168370999999999,0.006386187112945772,3.107697813855483e-05,8.987,0.032,8.636000000000001,0.018000000000000002,285.5409678553385,45.27755703929603,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8940939,4.157079946685179,0.01692778025256363,-0.32458898,0.018863445,0.004192727930634786,2.750215840608554e-05,8.879,0.026000000000000002,8.612,0.012,286.77820732224006,45.2780315231954,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8950146,4.290025554840408,0.019669014618878967,0.015434999999999999,0.013942351,0.003516499559221416,2.1566126881726042e-05,10.077,0.023,9.812000000000001,0.011000000000000001,290.8193090043152,45.24473536818636,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8952800,3.9393229786269646,0.012670668059398206,0.125911,0.009085483,0.0024799941878309857,2.1990516894233847e-05,9.959,0.02,9.642999999999999,0.015,291.76294694711964,45.26295154101985,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC8956017,4.061972993151479,0.034780896353254064,0.15881099999999998,0.013734194,0.0031172210623766463,2.8184110435535963e-05,9.607999999999999,0.021,9.329,0.019,292.9788521895035,45.27910044560503,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9005973,4.135094869378382,0.036232553955892505,-0.102979004,0.012299606000000001,0.0029883927238227963,2.6853351395864045e-05,10.455,0.021,10.101,0.013999999999999999,285.09983535280213,45.318021522891655,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9025370,4.416946774498534,0.009501900332434721,-0.072565004,0.008681239,0.012239359427198108,6.856018665537225e-05,7.69,0.028999999999999998,7.372000000000001,0.028999999999999998,293.0607029854934,45.31085127149989,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9026479,3.7841363412429367,0.012215314747096256,-0.12228155,0.010709251000000001,0.0028148240081424937,2.297946164748227e-05,9.655,0.02,9.22,0.012,293.4643789713242,45.307561864692275,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9026685,3.9960940839111383,0.017936680517586196,0.0044758,0.008829725,0.003423567579969225,6.64456258289408e-05,9.899,0.021,9.488,0.013999999999999999,293.5498206603375,45.361425961909774,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9049593,4.237134185950727,0.033898024494974296,0.261851,0.008756025,0.004680515397826792,2.6337353961299116e-05,9.392000000000001,0.027000000000000003,9.06,0.02,299.79141456211084,45.39168268670613,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9051235,3.918483419465917,0.053385363275982936,0.254521,0.009791578,0.0020619275743283226,2.4784038597631037e-05,10.347999999999999,0.018000000000000002,10.005,0.015,300.21718948931306,45.35609421523183,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9073645,3.8286008355778365,0.0410728390842646,-0.032282997,0.01189307,0.0016814331033300225,2.500768848569126e-05,10.542,0.022000000000000002,10.261,0.013999999999999999,284.37219761608225,45.44791433285707,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9073950,3.3890845472129096,0.00933263942757656,-0.13168155,0.0073743914,0.0017239458431433762,2.5603717236770693e-05,9.943,0.02,9.416,0.013999999999999999,284.54850720848924,45.49769988208896,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9093289,4.197223709661402,0.0689843394126659,-0.003989,0.011857198000000001,0.0031333126740827073,2.333758281729629e-05,10.152000000000001,0.02,9.875,0.012,293.4744269075385,45.480450032735135,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9098294,4.318324885663845,0.008270039108860155,-0.092058,0.010660686,0.008229699235646969,2.4257029962646386e-05,8.722999999999999,0.024,8.363999999999999,0.012,295.0884676305697,45.489451521183284,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9116461,4.3166294037992685,0.01586928855257948,-0.08583300599999999,0.014424808,0.008071081731871913,2.521754882691516e-05,8.341000000000001,0.019,8.13,0.015,300.0703029815934,45.453608137529706,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9119139,3.9906452558308816,0.04966527755027657,0.221951,0.0071818777,0.003591496334869046,2.454827315336995e-05,9.722000000000001,0.021,9.286,0.016,300.8025552657357,45.439672149484466,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9138680,3.7984454485143417,0.02798449004821272,0.238731,0.008004899000000001,0.0017680759644594936,2.2209801609017358e-05,10.45,0.021,10.144,0.013999999999999999,283.851331389565,45.54310297736686,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9139151,4.38668120391248,0.009560176409968351,0.10554100000000001,0.010343063000000001,0.009756618199343365,2.4869397448285734e-05,8.238,0.032,7.952000000000001,0.016,284.08873848812976,45.51504132966575,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9139163,4.195981962143737,0.01017363531364338,0.13136099999999998,0.013682594499999999,0.009813752074176207,3.150752858297327e-05,7.441,0.024,7.231,0.016,284.09234925187894,45.50729618236033,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9143749,4.0284530656646895,0.022478154971539828,-0.031467,0.010007627,0.002845269268238735,2.8891687808952488e-05,10.059,0.021,9.705,0.013999999999999999,286.6555538663443,45.5962230667461,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9150095,3.3252393849309128,0.015224333463044843,0.12345845,0.006070221999999999,0.0020677562501659023,2.686448069332002e-05,9.624,0.025,9.019,0.011000000000000001,289.98467963024933,45.507945277108966,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9163769,4.2445713922794965,0.06749992688960055,0.084318995,0.014598518999999999,0.0043304717056189945,2.3804573873863768e-05,9.238999999999999,0.021,8.969,0.015,295.327566458683,45.543737033551544,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9201604,3.522210516080167,0.016992661043044817,0.01423845,0.007179426,0.001846937542896529,2.3808858663218382e-05,10.061,0.022000000000000002,9.533999999999999,0.013000000000000001,283.2268885255451,45.69770624094929,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9202077,4.0123973348925865,0.020762594014981543,0.174101,0.010140577,0.003462677857983666,2.6604384931633692e-05,9.269,0.022000000000000002,8.985,0.013000000000000001,283.51924769108416,45.697877054296896,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9204313,4.082666145395527,0.1011510585510531,-0.087441005,0.009644261999999999,0.004657327222407156,2.490469236050966e-05,9.552999999999999,0.021,9.187999999999999,0.016,284.7833826379192,45.6824284328564,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9206432,4.24706152296866,0.008276133610853794,0.231041,0.014767192,0.006801817114077573,2.186696134951526e-05,8.213,0.018000000000000002,8.067,0.02,285.9382192297268,45.60835917837853,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9225600,4.0542529040032615,0.017133431588775658,0.22235100000000002,0.010252677,0.002942049205528545,2.6832161870892382e-05,9.831,0.021,9.527000000000001,0.016,294.63727425115,45.69251677672856,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9226926,4.183715867139596,0.013230743426006594,-0.066265,0.019430555,0.007314594016978668,2.26462108116482e-05,7.876,0.021,7.709,0.02,295.11304924605895,45.695830921816565,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9266926,4.064649758338022,0.01727566816486055,-0.39438897,0.011555313000000001,0.003375164488851164,2.3926055137215304e-05,10.208,0.021,9.817,0.017,284.6660243795158,45.796681989747995,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9287845,3.881725360563923,0.04400780622955722,0.10723099999999999,0.013295227,0.0020576852656498073,2.418808668639644e-05,10.1,0.021,9.825,0.016,294.5545263774249,45.77723574394005,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9289275,4.070610547342708,0.017517643871416085,0.129441,0.009848133,0.00531317860127003,2.565928616395992e-05,8.684,0.024,8.36,0.012,295.09448049497183,45.7765406557882,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9292130,3.8874316576976256,0.014988439590670463,0.098758996,0.009955921999999999,0.0027815954434608978,2.360632640674712e-05,9.645,0.021,9.332,0.013999999999999999,296.06940169403856,45.70313087109089,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9328372,4.085467570728795,0.046867383680068,0.13186099999999998,0.010462075,0.0022418136889403627,3.1773394167043246e-05,10.237,0.021,9.952,0.017,284.70781431182525,45.84927993672335,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9353712,3.9239345484466313,0.00884063249483019,-0.079858005,0.012496358,0.0024182569588449684,2.4938417813629154e-05,9.892000000000001,0.021,9.607000000000001,0.013999999999999999,296.0444584761998,45.88921606036087,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9353859,3.503594658821277,0.011825148847441177,-0.09279555,0.00768916,0.0018886891541348891,2.6122089296805778e-05,10.001,0.021,9.461,0.013999999999999999,296.09487877526874,45.89770543024311,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9390670,4.110665227577284,0.037847737918431934,0.25020102,0.012233363999999998,0.004963422100664588,4.734378755143605e-05,8.671,0.026000000000000002,8.405,0.016,284.93090302617037,45.960351271709385,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9394953,4.0227849989094535,0.05371085141517082,0.088103,0.008555345,0.002537177554439621,2.379231272544429e-05,10.367,0.021,9.982999999999999,0.013000000000000001,287.35459951309207,45.94865426907829,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9410862,4.3033288151625415,0.011262924276192616,-0.38080898,0.0139130885,0.0049997580353816126,2.7633792646949292e-05,9.705,0.022000000000000002,9.375,0.016,294.48640709314975,45.96480221115049,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9414381,3.876336085647879,0.013377330637833468,0.280871,0.006570301,0.0028613163318997477,2.7804135243258226e-05,9.832,0.023,9.415,0.012,295.7928719809047,45.98779065363613,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9414417,4.018870296768391,0.009251975392926472,-0.064289,0.014357189,0.0047237906988585225,2.7571708638271602e-05,8.661,0.024,8.407,0.012,295.8028718996762,45.98796628706118,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9446628,3.975217018884664,0.05551068581984856,-0.157399,0.013729271000000001,0.0030245630701852115,2.347910615980112e-05,9.687000000000001,0.024,9.437000000000001,0.019,282.04500719129464,46.06792117816504,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9451741,4.262092276294749,0.02136722548390348,0.234911,0.007275806700000001,0.003963443108040093,2.586666744916242e-05,9.985,0.025,9.601,0.019,285.21161237679513,46.02137542678179,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9455860,4.144821430836209,0.05351767614456021,-0.055273,0.017929927,0.0028416188217352777,2.550223825553034e-05,9.986,0.022000000000000002,9.754,0.011000000000000001,287.56839894585937,46.00829005058874,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9457728,3.9898182329686023,0.02175345545152941,-0.23263899999999998,0.014767812,0.003335672700964542,2.6466611533000217e-05,9.52,0.023,9.227,0.011000000000000001,288.5996272688565,46.031785967193755,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9458636,4.025162183426805,0.020253097595729082,-0.045218997000000004,0.010924435,0.00278169409471798,2.282691230937554e-05,10.1,0.02,9.845,0.013999999999999999,289.09138503913096,46.05705614516389,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9468847,3.9907448718713217,0.03160726716170633,-0.06808,0.011258923999999998,0.003675662141029368,2.7158292267088576e-05,9.465,0.021,9.141,0.012,293.43431430156863,46.074841410635564,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9512063,3.873329011800253,0.009731276646920379,-0.23920155,0.015292908999999999,0.004713084591953638,2.0568608305487677e-05,8.697000000000001,0.027000000000000003,8.377,0.013000000000000001,284.3472692838562,46.183988120904814,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9542776,3.783804817392448,0.05282703777553672,-0.05669655,0.036853783,0.0014131851455255547,2.376319479810252e-05,10.637,0.021,10.339,0.013999999999999999,297.74849341951057,46.13350057623331,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9574283,3.5719225500103478,0.008208284665952756,-0.42982155,0.009136674000000001,0.0030164341709494466,2.837597669504045e-05,9.377,0.02,8.879,0.019,284.791014156798,46.284759425835546,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9579208,4.013571158058888,0.018969437467895815,-0.188849,0.014901973,0.0034963220235167264,2.0507791054616e-05,9.445,0.021,9.191,0.011000000000000001,287.6374855435408,46.20444309171769,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9641837,3.877501203529883,0.017273982388329192,-0.068035,0.012300819,0.0036959368186175474,2.30687258000654e-05,9.004,0.039,8.719,0.013999999999999999,288.48860227159247,46.33465357813121,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC9664694,3.8186315086943257,0.015686885947947066,-0.140819,0.014255381000000001,0.0019100270443289096,2.3041088776818462e-05,10.272,0.024,9.976,0.017,297.5003461869216,46.38064633447108,kmag,green19,using APOGEE DR16 feh and IRFM teff
