id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,jmag,jmag_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC3437637,5483.0,58.0,3.857888767595389,0.024103826960348008,-0.255,0.102,0.002677070740577992,2.9209311975746182e-05,10.14,0.027000000000000003,9.682,0.018000000000000002,289.76039294023775,38.575285918186395,kmag,green19,using DR13 feh and SDSS teff
KIC3438633,6432.0,73.0,3.955587067634764,0.017453073383206997,-0.184,0.1,0.002346962642649052,2.779121561906524e-05,10.184,0.019,9.922,0.017,290.02825727825206,38.59797388242753,kmag,green19,using DR13 feh and SDSS teff
KIC3545753,6206.0,58.0,3.83797571798756,0.03872308906023237,-0.338,0.105,0.0021695310623933667,2.3641097556435684e-05,9.987,0.021,9.675,0.018000000000000002,291.7271257694145,38.689477715274045,kmag,green19,using DR13 feh and SDSS teff
KIC3630240,5256.0,71.0,3.3309886328809046,0.011755301637072871,-0.613,0.103,0.0017076015186085903,2.6273681416432124e-05,10.265999999999998,0.022000000000000002,9.73,0.017,286.51700433122045,38.72657875626482,kmag,green19,using DR13 feh and SDSS teff
KIC3632418,6188.0,66.0,3.801625342493257,0.021161441253717925,0.15,0.1,0.009235910602542276,3.230708740761089e-05,7.229,0.032,6.945,0.018000000000000002,287.36196731685897,38.71413838052882,kmag,green19,using DR13 feh and SDSS teff
KIC3633847,6122.0,51.0,4.016893132340911,0.034032542043994266,0.12,0.1,0.0035613612598080968,5.6342212231332684e-05,9.265,0.022000000000000002,8.972000000000001,0.018000000000000002,287.8961603529516,38.74379584761459,kmag,green19,using DR13 feh and SDSS teff
KIC3633889,6452.0,49.0,4.275013510981589,0.013673343288947258,-0.12,0.1,0.005195750046215034,2.521205806241453e-05,9.212,0.022000000000000002,8.946,0.018000000000000002,287.9141350847669,38.73456885165679,kmag,green19,using DR13 feh and SDSS teff
KIC3642422,5325.0,98.0,3.6239054270594937,0.04353440349626694,-0.019,0.1,0.00273427257562015,5.0669349385215325e-05,8.977,0.021,8.493,0.018000000000000002,290.5399483790872,38.760306531400225,kmag,green19,using DR13 feh and SDSS teff
KIC3643774,6029.0,104.0,4.151964724812989,0.01561356063913114,0.158,0.1,0.005358582286245501,2.6679888179404904e-05,8.89,0.02,8.572000000000001,0.017,290.9470668778781,38.77706175365137,kmag,green19,using DR13 feh and SDSS teff
KIC3656476,5684.0,56.0,4.230314400246658,0.007129664443488345,0.233,0.1,0.008735325993096062,2.5428765949993292e-05,8.382,0.024,8.008,0.017,294.2039287839221,38.71591251963522,kmag,green19,using DR13 feh and SDSS teff
KIC3657002,6006.0,64.0,4.160364323155415,0.02617535382094906,0.112,0.1,0.006061532772919417,2.9322508029842923e-05,8.737,0.023,8.427,0.02,294.33265110237653,38.74471821259211,kmag,green19,using DR13 feh and SDSS teff
KIC3661135,5603.0,71.0,3.9435297995825387,0.014131441007972518,-0.02,0.1,0.003458845974828332,3.357828480433447e-05,9.65,0.021,9.241,0.017,295.26355752691325,38.74576478606007,kmag,green19,using DR13 feh and SDSS teff
KIC3730801,5894.0,58.0,4.126166845615688,0.016321762354013756,0.16399999999999998,0.1,0.002751533518299869,2.253401401133213e-05,10.368,0.02,10.015,0.015,286.11974867103766,38.81169925578071,kmag,green19,using DR13 feh and SDSS teff
KIC3733735,6711.0,66.0,4.3035375005915695,0.008457099788255753,-0.077,0.1,0.00977741180592977,2.7185261446399504e-05,7.5329999999999995,0.018000000000000002,7.374,0.021,287.2581560064136,38.899730155758455,kmag,green19,using DR13 feh and SDSS teff
KIC3735871,6176.0,50.0,4.411810001105778,0.011368565389049479,-0.032,0.099,0.008213453724282702,2.613130909246497e-05,8.732000000000001,0.027000000000000003,8.477,0.018000000000000002,288.06919662698033,38.81757141752832,kmag,green19,using DR13 feh and SDSS teff
KIC3761840,6236.0,61.0,3.7749374455055986,0.030124902669511237,0.011,0.1,0.0018491191695441357,2.6582280622992008e-05,9.881,0.024,9.584,0.018000000000000002,295.17490810966336,38.802256475923116,kmag,green19,using DR13 feh and SDSS teff
KIC3854781,5705.0,102.0,4.017269161997285,0.013656569148373928,0.256,0.1,0.0030444461630352738,2.8633967065165162e-05,10.003,0.022000000000000002,9.634,0.018000000000000002,292.63968809497464,38.91403197192479,kmag,green19,using DR13 feh and SDSS teff
KIC3942719,5736.0,65.0,3.841766061335455,0.012243574022297856,-0.364,0.101,0.0030784353656663965,4.543535908389475e-05,9.547,0.02,9.131,0.018000000000000002,287.9924951449109,39.03704189015113,kmag,green19,using DR13 feh and SDSS teff
