id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC5607242,5377.783,106.48798000000001,3.762214471899077,0.007757614083617519,-0.12883337,0.046310615,0.0029479806118021803,2.0331823210577084e-05,9.031,0.018000000000000002,287.6464041981885,40.843211141078974,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5629080,5097.9473,91.06107,3.5526705718535103,0.009996498237144135,-0.22352336,0.04133518,0.0031922156864006147,2.7572017497294364e-05,8.487,0.024,294.47863578523413,40.83172346939164,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5636956,6327.8057,141.33046000000002,3.973253232754747,0.017684685297731654,0.10733085,0.083640404,0.0023859474550295048,2.36103795721123e-05,9.602,0.012,296.4064310415427,40.83686266606571,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5683538,6060.409000000001,160.41451999999998,3.793022763951256,0.07623652987284307,-0.5289010999999999,0.08309355,0.0018593810165261633,2.0176709648156104e-05,10.115,0.023,283.14851800934366,40.98829532526419,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5689219,6443.9126,166.57863999999998,4.08539080358305,0.040145069996500964,-0.44453916,0.08622191,-0.000536800669351708,0.0006912018514591012,8.697000000000001,0.015,285.94557650699386,40.92056120782009,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5723165,5236.8945,97.490486,3.684107147030083,0.008384856940946204,-0.02270737,0.040330496,0.0031797384326804137,2.7889616615525584e-05,8.749,0.012,296.5618894420668,40.99550768149771,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5773155,6201.6816,134.80336,4.037522607148332,0.01858581207899774,0.15565923,0.08060653,0.0034233399166024767,2.7512738644278812e-05,9.101,0.017,285.34822924467073,41.019839457255934,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5773345,6182.325,130.60974,4.0053452321436245,0.008775739413668162,0.26371825,0.08015799,0.005547873118767912,2.33961592842433e-05,7.946000000000001,0.017,285.4378322369741,41.08068118825256,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5822889,5184.0103,94.43386,3.4017062807563425,0.012166579945117998,-0.026246369,0.03918645,0.0017023897464350573,3.761170123830725e-05,9.056000000000001,0.017,299.49272568872027,41.06972572969498,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5892169,5216.679,95.99002,3.619311705268265,0.01031458827495943,0.09245063,0.037491005,0.003804349350187652,2.563176226673801e-05,8.031,0.021,296.22027083122777,41.11473024402526,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5950854,5914.0347,134.6,4.237158310328287,0.009835588893366536,-0.17308477,0.07396448,0.00435470296963703,2.7379627657518224e-05,9.547,0.019,288.78362158579137,41.29887104678695,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5955122,5945.695,133.1466,3.8885618048009865,0.008044252933107435,-0.090174586,0.074695796,0.005582213610288653,2.110498709512735e-05,7.919,0.024,290.122312484516,41.29148429874814,kmag,allsky,using APOGEE DR14 m_h and teff
KIC5961597,6434.7905,147.45586,4.0721666515331885,0.026290917424084653,0.07654185,0.08682292,0.003095587247229808,2.5685739906204125e-05,9.182,0.019,292.25753187066096,41.24146630520699,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6034893,5152.064,92.693146,3.448946133214396,0.015040231245093441,-0.050184373,0.038961083,0.0019027293350737649,2.1813727468139838e-05,9.009,0.017,289.3651204677922,41.370785623610885,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6035199,4900.4854,80.45201999999999,3.4258757799215735,0.01575768299825876,-0.38276535,0.040326363999999996,0.0025253281722443324,4.5595955878048765e-05,8.943999999999999,0.018000000000000002,289.46845553993626,41.33182745112699,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6047087,6023.329000000001,139.19588000000002,4.250626898988266,0.028246355315136282,-0.18617213,0.07637286,0.005116880110268238,2.286011590758217e-05,9.125,0.018000000000000002,293.2660820673912,41.39232004203185,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6049366,6256.464,147.15515,3.999780703053928,0.05141424485378459,-0.14652172,0.08181338,0.0025947049019551596,2.5082758081562817e-05,9.868,0.018000000000000002,293.9328704277111,41.31670210032685,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6116048,6003.9927,138.76748999999998,4.278763580183012,0.00833041047824793,-0.19593534,0.07593448,0.0134173175274146,2.941585025347226e-05,7.121,0.017,289.44288473735287,41.41055332021363,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6129877,6015.3667,132.58902,4.244154966625323,0.02747377505713487,0.008736171,0.07627871,0.005589637297667284,3.7487336256354726e-05,8.762,0.021,293.77497591077736,41.4198078925887,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6145937,5262.388000000001,99.651855,3.7427645757757633,0.012241735272037516,-0.23976338,0.045956917,0.003647296726979845,2.900833777885511e-05,8.423,0.031,297.67635249439303,41.473111087928594,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6232600,6442.8364,159.63261,4.257661641349873,0.0224901652591713,-0.26389915,0.08634357,0.008934785470832608,2.476361143561149e-05,7.755,0.024,298.87177945682964,41.58331279950416,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6287060,5743.2207,121.78911000000001,4.1508352783279765,0.056619004139467764,0.046762355,0.0704263,0.004488643273706962,3.14757425134869e-05,8.891,0.017,292.4581382038523,41.69850980954124,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6290627,5016.363,85.87001,3.422113988117069,0.010950984042142928,-0.23274645,0.03972804,0.0022960036443019157,2.641414106545168e-05,9.017000000000001,0.017,293.5943719516441,41.60625745061184,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6308642,5622.2393,123.544426,3.8056013433689175,0.01534607028484116,-0.15679337,0.05416453,0.003023579759379273,2.1428985462676043e-05,9.039,0.018000000000000002,298.04659845214763,41.66639921512067,kmag,allsky,using APOGEE DR14 m_h and teff
