var_name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,50th,16th,84th
z_latent[11],0.011498469039405828,0.0012868300093581125,0.0089876114064671,0.013863969670176283,7.497792834598976e-06,5.367344039594447e-06,29456.11639646534,28741.030554173398,29478.902409311042,12878.127834242578,1.000144234850254,0.011499301441861771,0.010228346067020758,0.012779195268506474
z_latent[12],0.00854071605207316,0.0011215902970282256,0.00639950424197713,0.010614085099230204,6.282806919070175e-06,4.498428444276473e-06,31868.458757554778,31083.14847901063,31874.795614793446,13160.999723015959,1.000295672931225,0.008547427561309724,0.007432539227986934,0.009642431875953083
z_latent[13],0.027154068872532612,0.003866765410627675,0.01987611829134652,0.03443927940066395,2.3124432169394042e-05,1.6711506618998333e-05,27961.051254121583,26769.72603109065,27963.994880277885,13417.440794726483,1.0001729439022813,0.027142086302779662,0.023311934305363553,0.03097899980469027
z_latent[14],0.012439391606480367,0.001944340759026544,0.008831575235234469,0.0160967829386904,1.2055508973176093e-05,8.645246504038374e-06,26011.99485322634,25291.2328708157,26025.976958924402,13954.807952391444,1.000329151868608,0.012447397826527557,0.010498271641957501,0.014382018678819932
z_latent[15],0.012844089001925374,0.0019183006999627483,0.009209921573685855,0.01642143464757041,1.123460264876732e-05,7.988363255173036e-06,29155.328372000626,28833.44379006963,29201.909469843744,14056.556562480107,0.9999878891664111,0.012835340577894247,0.010942876086512484,0.01475462728200795
z_latent[16],0.015531920438913323,0.0021067205629629977,0.011683498675805435,0.01964063618574814,1.1882882864337307e-05,8.601776987274699e-06,31431.871215003364,29992.728789036686,31425.402932921228,11916.758228720832,1.0000075087392064,0.015534159321556183,0.013457178065850022,0.017623341937987907
z_latent[17],0.019251975316246853,0.002756652981156618,0.013957183076858847,0.02435465972447153,1.675439822826649e-05,1.2037528632619041e-05,27071.139071332163,26222.20412270737,27035.997516252657,13589.718899296635,1.000374178632539,0.019245271547894793,0.016507524139791376,0.02200047135337299
z_latent[18],0.017144069310647173,0.00285578543161339,0.01169591877015018,0.022415705411276913,1.7292415273636154e-05,1.2615505929718135e-05,27273.4347010719,25622.51028082968,27395.448626049998,13121.353510083767,1.0005141896078709,0.017119958034618625,0.014293319427827838,0.020017177666527736
z_latent[19],0.01817315137600485,0.002982920451484962,0.01260638337732147,0.023708713791210423,1.970776830171148e-05,1.415726974640055e-05,22909.12215586913,22197.586662281807,22917.99805888273,13473.796090284206,1.0000401896526687,0.018177434375539592,0.015190391561115006,0.02116135531342476
z_latent[20],0.012534169813472364,0.0021514566226904282,0.00846370023056929,0.016537349176126367,1.2098218208231281e-05,8.747782342247329e-06,31624.4049111634,30244.585526874114,31619.12325779157,13943.982023362774,1.0000965279995937,0.012548163465785241,0.010401819678266581,0.014669702010735041
z_latent[21],0.010390883252309994,0.0016728440118254989,0.007218976120834487,0.013524760844759598,1.01817454951404e-05,7.257510212660055e-06,26993.94867938468,26565.326338869247,27058.431549133616,12850.928657356526,1.0001491828380213,0.010394388930465657,0.008727844165462682,0.012038284423569004
z_latent[22],0.01969244550487369,0.003025308085739233,0.014052863289443754,0.025475957665055716,1.8384963663671635e-05,1.315803266422108e-05,27077.817978892163,26432.41695385805,27069.546297580913,13662.740424117439,1.0003599163420203,0.019697166126311907,0.0166936222425931,0.02267564455037965
z_latent[23],0.03234952858478005,0.003548546603245409,0.025590724928545746,0.03892517746384315,2.0901006254190442e-05,1.4878483705359213e-05,28824.82212659839,28442.15940296447,28822.775672358624,14122.057804371734,1.0001548165291188,0.03237205057734466,0.02880313096457463,0.03587974843205638
z_latent[24],0.013062862214792375,0.0019866564912272015,0.009324737922316079,0.016712027646330105,1.1884945261355843e-05,8.574261340600966e-06,27941.594748793814,26843.03150721648,27953.258925277598,12832.718467149418,1.0003219482475512,0.013054669347689125,0.011097940426231571,0.015049126092824838
z_latent[25],0.017824695674563146,0.002363675792146267,0.013433763542167068,0.02228116384862188,1.3068153615341026e-05,9.476257910134642e-06,32715.032254422316,31108.584868057784,32732.739947972663,14081.88872114807,1.000202953196721,0.017827654862198714,0.015489201661488204,0.02017375749000223
z_latent[26],0.011934958485399515,0.0017847522979373474,0.008604946500122166,0.015312027942503994,1.0498806750280853e-05,7.594416002635279e-06,28898.547580091054,27615.081441612176,28914.444713206038,13683.223935734053,1.0000990324153227,0.011935838780146698,0.010158170680521961,0.01372593563556459
