epochs,loss,mae,val_loss,val_mae
75,0.007546570075675845,0.005755368620157242,0.006523482479631876,0.005836206022650003
76,0.0076253313021734355,0.005795708857476711,0.006735358453843007,0.006047904025763273
77,0.007543642655946314,0.005739955697208643,0.00633863457143928,0.0056510139256715775
78,0.0073993357410654425,0.005590100307017565,0.006159120795922602,0.005471332464367151
79,0.007372826807200908,0.00555092329159379,0.0062786925808665526,0.005590740125626326
80,0.007425244245678186,0.005573066417127848,0.006285896254117801,0.005597782786935568
81,0.0074135758029297,0.0055714985355734825,0.006137804067674525,0.005449535325169563
82,0.007321096259169281,0.0055082375183701515,0.006497558221087722,0.0058091385290026665
83,0.007345433082431555,0.005581784527748823,0.006112246905060052,0.005423679947853088
84,0.007267822532914579,0.005476140882819891,0.006094366079070867,0.005405656062066555
85,0.007209486280567944,0.005404387600719929,0.006160161411740002,0.005471306387335062
86,0.007176463002339006,0.005366034805774689,0.0060005446312610435,0.005311543587595224
87,0.007100237905047834,0.005294848699122667,0.005990832668596386,0.005301682744175196
88,0.00706324066221714,0.005276762880384922,0.005862191559697818,0.00517289387062192
89,0.006999155728146434,0.0052497959695756435,0.005962499032782826,0.005273052025586367
90,0.006971506587229669,0.005225535947829485,0.005873467233007078,0.005183872766792774
91,0.006956342685967684,0.005191548261791468,0.0058659101745698085,0.005176172126084566
92,0.006914334589615464,0.005121132824569941,0.005759440959338802,0.005069565027952194
93,0.006799786971881986,0.005017531104385853,0.005733962964573133,0.005043949466198683
94,0.0068920280290767555,0.005069395061582327,0.005831312400091092,0.005141159985214472
95,0.006771509550511837,0.005016948562115431,0.005659953211212146,0.004969670437276363
96,0.0066928641339764,0.0049797119572758675,0.005651870924212907,0.0049614557065069675
97,0.006639987645670772,0.004926254507154226,0.005655968846320829,0.004965419881045818
98,0.006656621815636754,0.004932504612952471,0.005700536843640471,0.005009848158806562
99,0.006841112744994462,0.005078446120023727,0.005841269161925139,0.005150455515831709
100,0.006783813199959695,0.005059508606791496,0.0057140402060520176,0.005023112520575523
101,0.00671787453815341,0.004980045836418867,0.005642301481241255,0.004951262380927801
102,0.006642000228166581,0.00493018701672554,0.005697199101908989,0.005006053950637579
103,0.006605848019011319,0.004863320849835873,0.005543380678922974,0.004852122627198696
104,0.00652538139000535,0.004803443793207407,0.005457676089139688,0.0047663054428994656
105,0.006488512294366955,0.004781913012266159,0.005503976125447166,0.004812492057681084
106,0.006562207789160311,0.004815286956727505,0.005551931437377543,0.00486033596098423
107,0.006696024344302714,0.0049249641597270966,0.0055010388593327965,0.004809343721717596
108,0.0066431837948039175,0.004910452291369438,0.005421363003676607,0.004729575011879206
109,0.007056432995945215,0.005142162088304758,0.005839308188523681,0.0051474375650286674
110,0.007093897785060108,0.005262264050543308,0.0060788208095274125,0.005386895965784788
111,0.007049456710927189,0.005245848558843136,0.005962619885885865,0.005270647816359997
112,0.0068137616226449605,0.0050591519102454185,0.0056779868880133,0.004985961131751537
113,0.006636566956527531,0.004899207036942244,0.005543586850411813,0.0048514967784285545
114,0.006705697828903795,0.0049938298761844635,0.005735683095533011,0.005043519660830498
115,0.006676499377004802,0.004968565423041582,0.005484630344541368,0.0047923908568918705
116,0.006483508522622287,0.004782845266163349,0.005526670104966198,0.004834346938878298
117,0.006476728678680956,0.004775082692503929,0.005474986603879013,0.00478257704526186
118,0.006517508097924292,0.00480754766613245,0.005424551852319472,0.004732050001621246
119,0.0064728648122400045,0.004773696418851614,0.005358358038708205,0.004665769170969725
120,0.006399880459532142,0.004709228873252869,0.005261471485256069,0.004568793345242739
121,0.00628833528701216,0.004606780130416155,0.005282111680706264,0.004589341580867767
122,0.006254551560617983,0.004586192779242992,0.005347161420933674,0.004654295742511749
123,0.006225755212828517,0.0045530665665864944,0.0052770325296290915,0.00458406750112772
124,0.006254372302442789,0.004563912283629179,0.005233455100731438,0.004540393128991127
125,0.006226640890352428,0.004536345601081848,0.005174260832027933,0.004481105133891106
126,0.006246255987323821,0.004534682258963585,0.005199277046085575,0.004506025463342667
127,0.006271954514086246,0.004596316255629063,0.005158439630365232,0.004465100821107626
128,0.006222944443114102,0.004602236207574606,0.005338808093695062,0.0046453834511339664
129,0.006148266388103366,0.004520688205957413,0.005121953012915298,0.004428441170603037
130,0.00612276300136,0.004483956377953291,0.005177610092091112,0.0044840131886303425
131,0.0061628734059631825,0.004515465814620256,0.005340306757114207,0.004646622110158205
132,0.006198209474794567,0.00451640272513032,0.0050797777856900215,0.004386013839393854
133,0.006106124192476273,0.0044692340306937695,0.005092589953681599,0.004398748744279146
134,0.006043770911172032,0.004430072847753763,0.005145476752082698,0.004451558459550142
135,0.005995210225693882,0.00439163763076067,0.005012417835080105,0.004318420775234699
136,0.0059747797604650255,0.004336254205554724,0.005020208126420756,0.0043261293321847916
137,0.005972168307751417,0.00431253295391798,0.005063841432882647,0.004369682632386684
138,0.00595685669593513,0.004316754173487425,0.005055804187703064,0.004361568484455347
139,0.00597642616275698,0.004372297320514917,0.005034010915140439,0.004339698236435652
140,0.005947794441133737,0.004343182779848576,0.005051882365544096,0.004357498604804277
141,0.005927104528062045,0.004313713405281305,0.005023833004205363,0.0043293749913573265
142,0.00589656347874552,0.004291471093893051,0.005051874600182299,0.004357346333563328
143,0.005908267196267843,0.004272883292287588,0.004947971547704456,0.004253378137946129
144,0.005779694584198296,0.004177532158792019,0.004822078599459827,0.004127416759729385
145,0.005811537861824036,0.004188126884400845,0.004880884461805099,0.004186153877526522
146,0.005900211712345481,0.004244830459356308,0.0049549454955826,0.004260150715708733
147,0.005862536842003465,0.0042482889257371426,0.004866218088022266,0.004171364475041628
148,0.0058274899488314985,0.004238089080899954,0.004943522812138522,0.004248612094670534
149,0.0058417168175801636,0.004212687723338604,0.004932857172751689,0.004237886983901262
150,0.005871153764426708,0.004217044450342655,0.005136419257319497,0.004441395867615938
151,0.0059404148906469344,0.004289121367037296,0.0050192049216658706,0.004324133042246103
152,0.00588093997258693,0.00423757079988718,0.004845627028094322,0.0041505140252411366
153,0.0058029906488955025,0.004174765665084124,0.004856764457052926,0.004161611199378967
154,0.0058462425833567975,0.004203994758427143,0.0050362974688065686,0.004341100808233023
155,0.0058450975976884366,0.00426347553730011,0.004879022187949791,0.004183787386864424
156,0.005770916392095387,0.004170725122094154,0.004841318130759432,0.00414604227989912
157,0.005840690773911774,0.004236139822751284,0.00495247403427816,0.004257161635905504
158,0.005770273969508708,0.004192347172647715,0.004894060314415333,0.004198711831122637
159,0.005716384747996926,0.004120757803320885,0.004627833202501198,0.00393245043233037
160,0.00564325550198555,0.004060913808643818,0.0047860579439443175,0.004090635571628809
161,0.0056544872047379615,0.004052379168570042,0.00474541751990738,0.004049949813634157
