name,teff,teff_err,lum,lum_err,dnu,dnu_err,mhs,mhs_err,logg,logg_err,bad_data,on_grid_1e,on_grid_2e
KIC8027956,5742.14,115.20428500000001,2.987018992330655,0.10098523756378164,65.28399999999999,2.127,0.057158000000000014,0.008846059,4.021679934583805,0.03179923176117036,0,0,0
KIC4064447,5158.165,121.83819,13.803972191935804,0.7381664833759132,19.174,0.884,-0.16101155,0.012491538,3.381524970696168,0.033286312250529554,0,0,0
KIC10214328,6489.0283,154.24515,5.766966091216244,0.193830093316846,60.773,1.742,-0.345729,0.020931633,4.06058911402004,0.07002606825201389,0,0,0
KIC8950146,6149.4604,145.41017,2.4561697344428466,0.0765478100221233,94.829,3.034,0.015434999999999999,0.013942351,4.290025554840408,0.019669014618878967,0,0,0
KIC10319352,5472.156,103.40671999999999,1.8657875345207928,0.05702118584743233,78.74600000000002,1.732,0.227631,0.0068830526,3.963915771482089,0.12978519589768064,0,1,0
KIC3642422,5155.7637,94.77359,8.280506523234141,0.4091435026217223,29.442,0.402,0.03989845,0.0073691574,3.6168921232367817,0.04353397140031685,0,0,0
KIC11507653,5662.2017,111.29496,2.7881811085551247,0.11951267064386563,70.218,2.324,0.13238099,0.0080332365,4.075692013976252,0.058900641699400326,0,0,0
KIC6442183,5699.553000000001,115.24681000000001,2.6256455596340857,0.08066450912549117,39.276,0.309,-0.085913,0.009580084,3.783770588232878,0.021487706345360687,0,0,0
KIC10909629,6212.8916,138.11719,6.934578231814952,0.2711469733340657,49.467,0.146,-0.171939,0.0144139305,3.911304627352082,0.013393745834856271,0,0,0
KIC7383120,6028.6772,129.39821,2.473358736829546,0.08255318186122818,83.41,4.181,-0.13866900000000001,0.012207061000000002,4.209175236877352,0.023059877005349918,0,1,0
KIC5253542,5588.2344,107.72381599999999,1.2927811249497891,0.04339215665179519,108.071,1.821,0.208511,0.00733632,4.319496475736112,0.027427987522617263,0,1,1
KIC11074380,5040.5312,90.28271,4.759253331887754,0.1808227159462916,34.786,1.3019999999999998,0.13640845,0.006557281,3.680668267792352,0.016325697165050918,0,0,0
KIC8026226,6222.5337,138.42053,10.846012616229043,0.4020528098902503,34.343,0.163,-0.161779,0.014426342,3.7155117532636814,0.008263386893242167,0,0,0
KIC7680114,5753.4146,115.43408000000001,2.0601786977809056,0.06086316126446122,85.169,0.083,0.07463,0.00879099,4.179847758897985,0.007978992418137312,0,1,1
KIC9702369,6217.045,135.66902,2.2775966353249113,0.08489729969647097,93.488,0.326,0.016246,0.012666978999999998,4.2663988986547325,0.01077553472903616,0,0,0
KIC3661135,5587.536,109.98302,3.2456408704431774,0.11898700861561153,54.965,1.588,0.00360985,0.00850113,3.942929655483717,0.014505008628794232,0,1,0
KIC4841753,5952.684,134.40233999999998,5.257929920087832,0.21497978581498425,49.655,2.4290000000000003,0.152341,0.010964526,3.889288740121392,0.040937069860268537,0,0,0
KIC8696343,5798.328,118.26189,1.7516780286551623,0.0568058085628329,110.738,3.673,-0.014541,0.009614746,4.329732102223192,0.04109733953403793,0,1,0
KIC3437637,5481.491,107.66219,3.4227919007669483,0.13217286881734047,48.084,1.996,-0.135479,0.008984596999999999,3.8578289973445554,0.024370235894041737,0,1,1
KIC7739672,5992.306,124.476234,3.6505605589266534,0.11505955302885472,66.015,1.91,0.120781,0.009893586999999999,4.086739179616258,0.06763237202228145,0,0,0
KIC7376493,5613.4907,120.41224,2.0532351021039603,0.06948204022694693,75.169,1.127,-0.036989997999999996,0.010062637,4.067402033923058,0.017163039612186844,0,1,1
KIC10398597,6153.364000000001,142.05081,5.1981400852083945,0.19023091875565346,57.387,2.704,0.137101,0.012579873,3.962281853236731,0.04652892928856042,0,0,0
KIC10610027,6645.8994,156.55594,6.279775241493349,0.20198922769809613,85.59299999999998,5.419,0.022851,0.019069895,4.211573555877943,0.03778767676829941,0,0,0
KIC10593351,5760.31,113.85408000000001,9.105044698180071,0.3326219471604386,32.091,0.2,0.22913845,0.012289786,3.6480219691485583,0.010158113840553007,0,0,0
KIC11395018,5565.1359999999995,106.54593999999999,4.461773877613167,0.1639590096763044,47.785,0.7240000000000001,0.240191,0.007095133399999998,3.8672962321021545,0.010031695561491376,0,0,0
KIC3545753,5966.906999999997,127.90855,6.829780584448651,0.2635033501100743,43.288,1.165,-0.23054154,0.020204782,3.8294444668627454,0.03894902603752673,0,0,0
KIC10273246,6086.7017,132.09415,6.056890895791322,0.2508458433085927,48.54600000000001,0.281,-0.14993900000000002,0.012842518999999998,3.880976856541552,0.016090949299105355,0,0,0
KIC6848299,5150.905,117.674675,2.2246028262504383,0.07248497218640271,56.46,2.65,-0.36955154,0.0124253305,3.9001600954539657,0.014558840722021887,0,1,0
KIC8019508,6093.5723,128.65958999999998,8.800445657497495,0.3066546325583044,38.983,0.411,0.129741,0.010590502,3.7686213383461036,0.029509529699091482,0,0,0
KIC8179536,6377.218000000003,142.31523,2.7070118947549973,0.08294306398650031,95.196,0.139,0.073928,0.014016273999999999,4.2839470119349965,0.009317045716270131,0,0,0
KIC5607242,5480.88,107.25518999999998,5.185089959470567,0.17872682624006409,40.628,0.073,-0.10312155,0.010347547,3.7663379817330473,0.007729745828344339,0,0,0
KIC8621637,5721.4683,113.325874,3.1775276647900865,0.12748352327714452,57.437,1.604,0.14994100000000002,0.008183397,3.963559731925351,0.014697099379485426,0,0,0
KIC7534011,5376.361,99.33854000000001,4.379555314282213,0.14970267424429462,57.21,1.624,0.305721,0.0062788133999999995,3.941741370706788,0.015215748501933168,0,0,0
KIC8045442,5765.1133,117.08089,8.620072872025279,0.34777166264895953,31.916,0.6970000000000001,-0.02795355,0.01388767,3.63093106975485,0.04420124944253975,0,0,0
KIC11389437,6000.2109999999975,125.986824,3.6306245295152615,0.11206445281422096,67.92399999999999,1.075,0.028919,0.0106197875,4.0454381893779585,0.014911113089293769,0,0,0
KIC10491771,6429.9976,147.1184,3.526255508175191,0.1149064559515347,81.002,2.804,-0.077254005,0.016379943,4.197769588120486,0.04609327153950052,0,0,0
KIC4347652,4974.9897,88.89178000000004,9.543100368466131,0.4320947877150498,17.352,1.004,0.07333545400000001,0.0065362373999999996,3.3301795928997926,0.0512467661394664,0,0,0
